id,dev,period,rstart,rstop,status,has_written_peps,has_written_acc_peps,peps_this_year,total_peps,accepted_peps_year,total_accepted_peps,biconnected,top,tenure,colaborators,knum,aknum,clus_sq,clus_dot,clus_red,degree,contributions,dcentrality,betweenness,closeness
91,Jesus Cea,19,18,19,0,0,0,0,0,0,0,1,0,3,53,5,6.234056487924683,0.1916708479678876,0.027754589425620677,0.4924731182795699,31,5024,0.012614812231135914,0.011882902015693806,0.011882902015693806
92,Hirokazu Yamamoto,19,18,19,1,0,0,0,0,0,0,1,0,3,55,8,10.046861184792219,0.13115515639516878,0.019095962449617067,0.07894736842105263,96,4872,0.039065224973840254,0.11289180325708821,0.11289180325708821
120,Giampaolo Rodolà,19,18,19,0,0,0,0,0,0,0,1,0,1,56,8,10.046861184792219,0.18880380248217588,0.039907091464659254,0.7100000000000001,25,3272,0.0101732356702709,0.006067035853264591,0.006067035853264591
94,Senthil Kumaran,19,18,19,0,0,0,0,0,0,0,1,1,3,56,9,11.248101265822784,0.2053953731940979,0.037154969709143414,0.6999004975124378,201,10665,0.08179281478897803,0.0561898024724493,0.0561898024724493
64,Matthias Klose,19,18,19,0,0,0,0,0,0,0,1,1,7,54,9,11.248101265822784,0.13962465060561693,0.012664360433155797,0.010213115790805033,252,253173,0.10254621555633067,0.3888189245479781,0.3888189245479781
62,Vinay Sajip,19,18,19,0,1,1,0,2,0,2,1,0,7,54,6,7.535686190374026,0.13826086956521738,0.03554934067073783,0.375,16,16747,0.006510870828973375,0.008426796577306035,0.008426796577306035
121,Łukasz Langa,19,18,19,0,0,0,0,0,0,0,1,0,1,55,6,7.535686190374026,0.18530020703933747,0.046707739111782776,0.8,10,4621,0.0040692942681083595,0.0019003906519023208,0.0019003906519023208
17,Martin v. Löwis,19,18,19,0,1,1,1,5,1,3,1,1,11,58,9,11.248101265822784,0.16322838510623378,0.029122960851490857,0.25998339559983397,220,63780,0.08952447389838392,0.17929712711968518,0.17929712711968518
20,Marc-André Lemburg,19,18,19,0,1,1,0,6,0,3,1,0,11,53,4,5.090870016303542,0.6448598130841121,0.04734801389068407,1.0,5,532,0.0020346471340541798,4.351830226943957e-05,4.351830226943957e-05
95,Mark Dickinson,19,18,19,0,0,0,0,0,0,0,1,1,3,56,9,11.248101265822784,0.15200701629509114,0.03817443370948376,0.484663645869641,152,29500,0.06185327287524707,0.07536031422002244,0.07536031422002244
122,Jean-Paul Calderone,19,18,19,0,0,0,0,0,0,0,1,1,1,54,9,11.248101265822784,0.16424263923377083,0.04764112403840247,0.961904761904762,15,1776,0.00610394140216254,0.0003107521827472721,0.0003107521827472721
97,Jesse Noller,19,18,19,1,1,1,0,2,0,2,1,0,3,54,4,5.090870016303542,0.2421259842519685,0.04519071269523837,0.888888888888889,10,338,0.0040692942681083595,0.0005189718800692428,0.0005189718800692428
110,R. David Murray,19,18,19,0,0,0,0,0,0,0,1,1,2,58,9,11.248101265822784,0.12786959990881114,0.03331071900952334,0.4318541451668387,171,11193,0.06958493198465296,0.08295862331906995,0.08295862331906995
123,Brian Curtin,19,18,19,0,0,0,0,0,0,0,1,1,1,56,9,11.248101265822784,0.1392315585452058,0.04152312720547132,0.6729362591431558,88,12707,0.035809789559353565,0.021355433927358555,0.021355433927358555
124,Brian Quinlan,19,18,19,0,1,1,0,1,0,1,1,0,1,54,4,5.090870016303542,0.27075812274368233,0.03710891649393547,0.3090909090909091,11,2397,0.004476223694919196,0.007405693478574823,0.007405693478574823
125,Alexander Belopolsky,19,18,19,0,0,0,0,0,0,0,1,1,1,58,9,11.248101265822784,0.1576697234214645,0.030367614317730985,0.3143210449030064,228,51104,0.0927799093128706,0.1591454736809725,0.1591454736809725
83,Collin Winter,19,18,19,1,1,1,1,6,0,4,1,0,4,54,8,10.046861184792219,0.23558758314855877,0.03662216967484201,0.7660818713450293,19,881,0.007731659109405884,0.0025197416119784374,0.0025197416119784374
52,Brett Cannon,19,18,19,0,1,1,0,13,0,9,1,1,8,59,9,11.248101265822784,0.15027173039199923,0.03869310271178631,0.5667101260321599,118,5937,0.04801767236367864,0.04813248478228051,0.04813248478228051
